participant_id,participant_group,major,workshop_group,geft_score,osivq_object_pct,osivq_spatial_pct,osivq_verbal_pct,osivq_cognitive_style,initial_prompt_length,n_turns,total_change,first_last_distance,img_usage_count,ideation_ratio,mean_char_count,mean_ctx_ratio,convergence_slope
P1,FD,design,G1,14,100.0,4.78,96.18,object,297,5,1.6591267417563986,0.4721832031514509,1,0.6,90.0,0.41666666666666663,-0.01724063379238385
P10,FD,business,G3,10,21.0,83.39,88.36,verbal,120,2,0.3773741874207377,0.3773741874207377,0,1.0,98.5,,0.0
P11,FI,design,G4,16,99.95,56.02,99.99,verbal,141,4,1.5511630970040349,0.5965676266578879,0,0.25,80.75,0.5,0.09011980009025705
P12,FI,design,G4,18,99.93,40.42,100.0,verbal,263,3,0.2651042635225115,0.1630610449428579,0,0.3333333333333333,367.0,0.7202380952380952,-0.09474278663914382
P13,FI,business,G4,17,98.64,29.27,98.76,verbal,444,5,1.769241607129544,0.5757889833451659,0,0.4,151.2,0.5,0.010703485837172367
P14,FD,design,G5,9,60.8,67.53,96.18,verbal,328,2,0.15818963611520276,0.15818963611520276,1,0.5,300.0,0.3,0.0
P15,FI,design,G5,16,56.41,74.75,97.72,verbal,166,3,1.030313709627744,0.34183299053274885,0,0.6666666666666666,98.66666666666667,0.75,0.08624987994228306
P16,FI,business,G5,17,91.23,99.9,99.33,spatial,686,4,0.3898340574598367,0.3192802365450438,0,0.5,574.25,0.5073063973063974,0.1268251424350701
P17,FI,business,G5,17,89.29,80.61,99.33,verbal,105,3,0.6340704720977759,0.4067144996683021,1,0.6666666666666666,95.0,0.5333333333333333,0.06125033894725984
P18,FD,design,G6,14,99.59,99.73,95.04,spatial,215,3,1.1064884768116414,0.2805774961670967,0,0.6666666666666666,110.0,0.8888888888888888,0.026565891489669702
P19,FD,design,G6,15,100.0,85.56,97.72,object,276,3,0.9820012045321752,0.6090871361885403,0,1.0,115.66666666666667,1.0,-0.11986638426117302
P2,FD,business,G1,15,98.64,71.25,96.18,object,19,10,4.544131700764851,0.4943000793586044,0,0.8,77.4,0.5740740740740741,0.007577781403210667
P20,FI,business,G6,18,97.04,36.37,99.93,verbal,139,7,2.464489650068856,0.6243551147661548,0,0.5714285714285714,80.28571428571429,0.8166666666666668,0.06897492217366301
P21,FD,business,G6,12,98.2,60.16,99.89,verbal,320,2,0.1680011265475384,0.1680011265475384,0,0.5,183.5,1.0,0.0
P22,FD,design,G7,12,87.06,60.16,97.09,verbal,278,2,0.25935833623159654,0.25935833623159654,2,0.5,290.0,0.7486631016042781,0.0
P23,FI,design,G7,18,99.78,48.19,97.09,object,452,4,0.8954341386627269,0.32265194828279675,0,0.5,222.25,0.3888888888888889,-0.003621390125796209
P24,FD,business,G7,10,97.04,91.37,93.87,object,153,2,0.3900470966701476,0.3900470966701476,0,0.5,136.0,1.0,0.0
P25,FI,business,G7,16,24.4,87.83,97.09,verbal,490,2,0.16471937568200146,0.16471937568200146,0,0.5,486.0,1.0,0.0
P26,FI,design,G8,17,99.99,19.81,90.29,object,149,2,0.25911147088691766,0.25911147088691766,0,0.5,158.0,0.8571428571428572,0.0
P27,FI,design,G8,17,96.2,22.44,82.83,object,530,2,0.22923706610602246,0.22923706610602246,0,0.5,485.0,0.8277310924369747,0.0
P28,FD,business,G8,15,99.95,97.56,99.66,object,366,3,0.9743855451221849,0.6475843415702067,0,0.3333333333333333,201.33333333333334,0.37878787878787873,-0.028710268011720275
P29,FI,design,G1,17,99.89,98.85,96.18,object,312,9,4.3636653072420915,0.6473138296423179,1,0.6666666666666666,69.33333333333333,0.3806818181818182,-0.035672128540848856
P3,FI,design,G2,16,95.33,32.47,99.76,verbal,207,2,0.5412513640615811,0.5412513640615811,2,0.5,132.5,0.5333333333333333,0.0
P4,FD,design,G2,10,97.72,3.94,98.31,verbal,32,5,1.4237953903411533,0.5528624505831046,3,0.8,43.6,0.7472527472527473,0.19017064818753276
P5,FI,business,G2,16,98.64,96.19,80.01,object,204,9,3.6049888470280735,0.5401821564011814,2,0.8888888888888888,57.44444444444444,0.40476190476190477,0.0058162910383075875
P6,FI,business,G2,17,99.59,67.53,93.87,object,331,2,0.32631235267121683,0.32631235267121683,0,0.5,319.0,0.9,0.0
P7,FD,design,G3,8,99.43,80.61,99.76,verbal,216,11,4.419127425866024,0.5640312523690427,3,0.8181818181818182,93.81818181818181,0.675,-0.0066903501958219
P8,FI,design,G3,18,98.99,56.02,99.76,verbal,106,2,0.4604372100658768,0.4604372100658768,0,1.0,73.0,1.0,0.0
P9,FD,business,G3,12,97.04,91.37,99.66,verbal,123,7,1.4103399335403513,0.33185881951549057,0,0.7142857142857143,156.71428571428572,0.3333333333333333,-0.05704580949043417
